"","","",""
"0-0-1-151-258-7-1","0","0","0"
"0-0-0-152-258-702-1","0","0","0"
"0-0-7-150-258-1700-1","0","0","0"
"0-0-0-145-258-5460-1","0","0","0"
"0-0-1-149-258-894-1","0","0","0"
"0-0-0-149-258-1518-1","0","0","0"
"0-0-20-150-258-3699-1","0","0","0"
"0-0-1-150-258-233-1","0","0","0"
"0-0-0-151-258-6929-1","0","0","0"
"0-0-1-151-258-413-1","0","0","0"
"0-0-0-145-258-2450-1","0","0","0"
"0-0-1-147-258-3211-1","0","0","0"
"0-0-1-141-258-984-1","0","0","0"
"0-0-8-152-258-1623-1","0","0","0"
"0-0-1-147-258-5383-1","0","0","0"
"0-0-0-146-258-1041-1","0","0","0"
"0-0-0-144-258-164-1","0","0","0"
"0-0-0-150-258-779-1","0","0","0"
"0-0-4-151-258-1236-1","0","0","0"
"0-0-0-145-258-344-1","0","0","0"
"0-0-0-151-258-959-1","0","0","0"
"0-0-1-150-258-1418-1","0","0","0"
"0-0-1-147-258-2373-1","0","0","0"
"0-0-0-146-258-524-1","0","0","0"
"0-0-0-152-258-1010-1","0","0","0"
"0","0","1","1"
"0-0-1-152-258-3751-1","0","0","0"
"0-0-0-147-258-704-1","0","0","0"
"0-0-1-147-258-80-1","0","0","0"
"0-0-0-151-258-1581-1","0","0","0"
"0-0-5-153-258-1159-1","0","0","0"
"0-0-0-143-258-3247-1","0","0","0"
"0-0-1-141-258-2155-1","0","0","0"
"0-0-2-150-258-469-1","0","0","0"
"0-0-0-152-258-822-1","0","0","0"
"0-0-1-144-258-2407-1","0","0","0"
"0-0-0-149-258-1638-1","0","0","0"
"0-0-7-152-258-2012-1","0","0","0"
"0-0-1-150-258-353-1","0","0","0"
"0-0-12-151-258-1024-1","0","0","0"
"0-0-7-152-258-4184-1","0","0","0"
"0-0-1-151-258-533-1","0","0","0"
"0-0-0-145-258-2570-1","0","0","0"
"0-0-1-152-258-713-1","0","0","0"
"0-0-1-144-258-1569-1","0","0","0"
"0-0-1-146-258-1730-1","0","0","0"
"0-0-0-146-258-1161-1","0","0","0"
"0-0-0-144-258-284-1","0","0","0"
"0-0-0-150-258-899-1","0","0","0"
